0.418,0.438,0.422
0.722,0.606,0.805
0.0,0.102,0.278
0.303,0.323,0.306
0.147,0.13,0.371
0.092,0.468,0.281
0.187,0.263,0.033
0.346,0.465,0.483
0.398,0.321,0.298
0.54,0.613,0.593
0.42,0.236,0.371
0.687,0.712,0.458
0.205,0.324,0.411
0.88,0.961,0.554
0.027,0.075,0.221
0.672,0.606,0.623
0.418,0.494,0.534
0.56,0.675,0.621
0.141,0.242,0.322
0.199,0.335,0.27
0.803,0.425,0.869
0.971,0.673,0.693
0.314,0.443,0.603
0.694,0.738,0.566
0.879,0.684,0.829
0.897,0.964,0.829
0.085,0.463,0.189
0.039,0.226,0.31
0.17,0.03,0.42
0.88,0.512,0.782
0.099,0.177,0.284
0.422,0.582,0.503
0.96,0.799,0.71
0.535,0.276,0.408
0.694,0.583,0.715
0.316,0.579,0.359
0.688,0.563,0.753
0.837,0.606,0.749
0.018,0.458,0.17
0.752,0.65,0.626
0.992,0.726,0.737
0.75,0.683,0.551
0.281,0.374,0.451
0.791,0.616,0.614
0.103,0.409,0.476
0.449,0.598,0.575
0.911,0.832,0.634
0.294,0.368,0.404
0.288,0.509,0.379
0.13,0.28,0.158
0.019,0.275,0.36
0.681,0.722,0.705
0.212,0.426,0.459
0.266,0.57,0.344
0.493,0.546,0.62
0.053,0.047,0.259
0.576,0.408,0.649
0.147,0.451,0.518
0.591,0.512,0.574
0.702,0.659,0.469
0.103,0.171,0.273
0.415,0.565,0.535
0.696,0.567,0.741
0.415,0.618,0.351
0.05,0.178,0.259
0.537,0.649,0.556
0.666,0.671,0.643
0.516,0.424,0.615
0.947,0.883,0.645
0.588,0.445,0.514
0.906,0.637,0.827
0.138,0.373,0.365
0.14,0.218,0.372
0.81,0.608,0.79
0.399,0.4,0.471
0.166,0.19,0.394
0.93,0.866,0.702
0.349,0.481,0.294
0.753,0.636,0.509
0.728,0.617,0.638
0.886,0.772,0.691
0.625,0.774,0.509
0.753,0.744,0.676
0.35,0.353,0.342
0.271,0.456,0.405
0.898,0.714,0.717
0.429,0.434,0.388
0.967,0.983,0.516
0.665,0.545,0.749
0.623,0.514,0.609
0.115,0.051,0.036
0.952,0.597,0.702
0.451,0.522,0.528
0.58,0.464,0.53
0.409,0.505,0.526
0.238,0.218,0.275
0.906,0.643,0.741
0.575,0.619,0.546
0.003,0.381,0.236
0.619,0.635,0.551
0.327,0.537,0.444
0.528,0.711,0.624
0.888,0.842,0.658
0.358,0.31,0.396
0.911,0.723,0.742
0.625,0.643,0.565
0.016,0.171,0.301
0.932,0.799,0.811
0.693,0.427,0.746
1.0,0.69,0.759
0.173,0.371,0.106
0.137,0.031,0.317
0.935,0.621,0.774
0.699,0.611,0.596
0.066,0.05,0.272
0.757,0.653,0.393
0.756,0.553,0.698
0.925,0.71,0.699
0.713,0.591,0.466
0.125,0.304,0.227
0.02,0.157,0.174
0.026,0.236,0.33
0.028,0.157,0.326
0.247,0.417,0.538
0.862,0.902,0.767
0.54,0.544,0.393
0.554,0.549,0.394
0.844,0.562,0.808
0.124,0.362,0.48
0.28,0.284,0.374
0.587,0.455,0.616
0.972,0.834,0.601
0.562,0.555,0.343
0.019,0.349,0.141
0.803,0.839,0.632
0.234,0.282,0.32
0.809,0.691,0.649
0.389,0.637,0.404
0.866,0.82,0.772
0.749,0.724,0.79
0.558,0.682,0.546
0.137,0.219,0.535
0.06,0.318,0.218
0.122,0.443,0.262
0.045,0.423,0.317
0.108,0.179,0.272
0.226,0.311,0.493
0.715,0.666,0.557
0.561,0.5,0.681
0.012,0.172,0.28
0.072,0.331,0.557
0.97,0.728,0.707
0.57,0.332,0.527
0.204,0.369,0.374
0.253,0.307,0.158
0.746,0.555,0.702
0.196,0.142,0.405
0.583,0.663,0.567
0.973,0.513,0.597
0.849,0.503,0.532
0.24,0.317,0.439
0.495,0.637,0.632
0.622,0.719,0.741
0.831,0.556,0.591
0.157,0.28,0.228
0.019,0.046,0.235
0.07,0.367,0.084
0.488,0.321,0.445
0.608,0.544,0.657
0.57,0.658,0.719
0.318,0.368,0.447
0.991,0.951,0.937
0.581,0.445,0.597
0.381,0.472,0.471
0.552,0.627,0.522
0.747,0.624,0.66
0.671,0.757,0.574
0.266,0.426,0.376
0.066,0.059,0.219
0.371,0.881,0.472
0.631,0.649,0.582
0.211,0.344,0.209
0.755,0.483,0.619
0.067,0.258,0.199
0.261,0.307,0.176
0.807,0.749,0.722
0.194,0.365,0.516
0.641,0.793,0.832
0.526,0.53,0.688
0.927,0.804,0.643
0.264,0.405,0.512
0.066,0.231,0.404
0.737,0.613,0.429
0.774,0.783,0.744
0.91,0.825,0.79
0.934,0.676,0.754
0.014,0.09,0.29
0.235,0.338,0.381
0.618,0.7,0.743
0.952,0.755,0.704
0.953,0.961,0.726
0.558,0.442,0.543
0.918,0.755,0.757
0.643,0.29,0.403
0.391,0.367,0.6
0.487,0.455,0.529
0.606,0.618,0.626
0.551,0.725,0.559
0.929,0.749,0.715
0.921,0.909,0.694
0.396,0.515,0.468
0.966,0.88,0.769
0.174,0.257,0.464
0.127,0.443,0.355
0.135,0.164,0.31
0.507,0.559,0.722
0.021,0.113,0.131
0.951,0.698,0.606
0.829,0.519,0.72
0.015,0.159,0.239
0.177,0.353,0.16
0.333,0.394,0.393
0.131,0.13,0.247
0.812,0.847,0.791
0.346,0.448,0.368
0.943,0.869,0.851
0.584,0.637,0.603
0.881,0.641,0.688
0.847,0.473,0.694
0.908,0.627,0.768
0.461,0.617,0.252
0.548,0.404,0.571
0.801,0.766,0.629
