0.418,0.438
0.722,0.606
0.0,0.102
0.303,0.323
0.147,0.13
0.092,0.468
0.187,0.263
0.346,0.465
0.398,0.321
0.54,0.613
0.42,0.236
0.687,0.712
0.205,0.324
0.88,0.961
0.027,0.075
0.672,0.606
0.418,0.494
0.56,0.675
0.141,0.242
0.199,0.335
0.803,0.425
0.971,0.673
0.314,0.443
0.694,0.738
0.879,0.684
0.897,0.964
0.085,0.463
0.039,0.226
0.17,0.03
0.88,0.512
0.099,0.177
0.422,0.582
0.96,0.799
0.535,0.276
0.694,0.583
0.316,0.579
0.688,0.563
0.837,0.606
0.018,0.458
0.752,0.65
0.992,0.726
0.75,0.683
0.281,0.374
0.791,0.616
0.103,0.409
0.449,0.598
0.911,0.832
0.294,0.368
0.288,0.509
0.13,0.28
0.019,0.275
0.681,0.722
0.212,0.426
0.266,0.57
0.493,0.546
0.053,0.047
0.576,0.408
0.147,0.451
0.591,0.512
0.702,0.659
0.103,0.171
0.415,0.565
0.696,0.567
0.415,0.618
0.05,0.178
0.537,0.649
0.666,0.671
0.516,0.424
0.947,0.883
0.588,0.445
0.906,0.637
0.138,0.373
0.14,0.218
0.81,0.608
0.399,0.4
0.166,0.19
0.93,0.866
0.349,0.481
0.753,0.636
0.728,0.617
0.886,0.772
0.625,0.774
0.753,0.744
0.35,0.353
0.271,0.456
0.898,0.714
0.429,0.434
0.967,0.983
0.665,0.545
0.623,0.514
0.115,0.051
0.952,0.597
0.451,0.522
0.58,0.464
0.409,0.505
0.238,0.218
0.906,0.643
0.575,0.619
0.003,0.381
0.619,0.635
0.327,0.537
0.528,0.711
0.888,0.842
0.358,0.31
0.911,0.723
0.625,0.643
0.016,0.171
0.932,0.799
0.693,0.427
1.0,0.69
0.173,0.371
0.137,0.031
0.935,0.621
0.699,0.611
0.066,0.05
0.757,0.653
0.756,0.553
0.925,0.71
0.713,0.591
0.125,0.304
0.02,0.157
0.026,0.236
0.028,0.157
0.247,0.417
0.862,0.902
0.54,0.544
0.554,0.549
0.844,0.562
0.124,0.362
0.28,0.284
0.587,0.455
0.972,0.834
0.562,0.555
0.019,0.349
0.803,0.839
0.234,0.282
0.809,0.691
0.389,0.637
0.866,0.82
0.749,0.724
0.558,0.682
0.137,0.219
0.06,0.318
0.122,0.443
0.045,0.423
0.108,0.179
0.226,0.311
0.715,0.666
0.561,0.5
0.012,0.172
0.072,0.331
0.97,0.728
0.57,0.332
0.204,0.369
0.253,0.307
0.746,0.555
0.196,0.142
0.583,0.663
0.973,0.513
0.849,0.503
0.24,0.317
0.495,0.637
0.622,0.719
0.831,0.556
0.157,0.28
0.019,0.046
0.07,0.367
0.488,0.321
0.608,0.544
0.57,0.658
0.318,0.368
0.991,0.951
0.581,0.445
0.381,0.472
0.552,0.627
0.747,0.624
0.671,0.757
0.266,0.426
0.066,0.059
0.371,0.881
0.631,0.649
0.211,0.344
0.755,0.483
0.067,0.258
0.261,0.307
0.807,0.749
0.194,0.365
0.641,0.793
0.526,0.53
0.927,0.804
0.264,0.405
0.066,0.231
0.737,0.613
0.774,0.783
0.91,0.825
0.934,0.676
0.014,0.09
0.235,0.338
0.618,0.7
0.952,0.755
0.953,0.961
0.558,0.442
0.918,0.755
0.643,0.29
0.391,0.367
0.487,0.455
0.606,0.618
0.551,0.725
0.929,0.749
0.921,0.909
0.396,0.515
0.966,0.88
0.174,0.257
0.127,0.443
0.135,0.164
0.507,0.559
0.021,0.113
0.951,0.698
0.829,0.519
0.015,0.159
0.177,0.353
0.333,0.394
0.131,0.13
0.812,0.847
0.346,0.448
0.943,0.869
0.584,0.637
0.881,0.641
0.847,0.473
0.908,0.627
0.461,0.617
0.548,0.404
0.801,0.766
0.286,0.304
0.492,0.539
0.601,0.346
0.015,0.354
0.595,0.548
0.435,0.563
0.81,0.698
0.316,0.484
0.895,0.714
0.579,0.63
0.184,0.142
0.79,0.54
0.614,0.647
0.054,0.237
0.421,0.426
0.681,0.582
0.921,0.799
0.0,0.142
0.979,0.833
0.378,0.322
0.976,0.725
0.606,0.673
0.831,0.813
0.576,0.415
0.63,0.67
0.286,0.255
0.588,0.634
0.752,0.424
0.861,0.577
0.757,0.587
0.7,0.594
0.867,0.874
0.323,0.501
0.673,0.78
0.452,0.61
0.383,0.398
0.412,0.417
0.402,0.565
0.318,0.398
0.624,0.551
0.431,0.304
0.976,0.76
0.68,0.279
0.199,0.272
0.428,0.343
0.344,0.488
0.8,0.616
0.882,0.68
0.906,0.888
0.664,0.472
0.271,0.403
0.253,0.137
0.857,0.714
0.529,0.562
0.804,0.773
0.574,0.437
0.735,0.67
0.52,0.547
0.773,0.653
0.57,0.556
0.467,0.533
0.344,0.454
0.068,0.135
0.379,0.29
0.08,0.546
0.985,0.999
0.182,0.154
0.814,0.731
0.877,0.788
0.69,0.695
0.571,0.555
0.161,0.196
0.468,0.459
0.346,0.353
0.226,0.356
0.594,0.521
0.313,0.375
0.919,0.857
0.912,0.878
0.258,0.222
0.111,0.221
0.193,0.23
0.501,0.64
0.731,0.624
0.209,0.498
0.249,0.298
0.854,0.705
0.417,0.295
0.618,0.717
0.234,0.303
0.102,0.098
0.517,0.44
